sample	unit	fq1	fq2	parhap
2x_LOP868_238	SRR6123164	SRR6123164.fastq.gz	NaN	haploid
2x_LOP868_247	SRR6123163	SRR6123163.fastq.gz	NaN	haploid
2x_LOP868_234	SRR6123162	SRR6123162.fastq.gz	NaN	haploid
2x_LOP868_236	SRR6123161	SRR6123161.fastq.gz	NaN	haploid
2x_LOP868_256	SRR6123160	SRR6123160.fastq.gz	NaN	haploid
2x_LOP868_257	SRR6123159	SRR6123159.fastq.gz	NaN	haploid
2x_LOP868_079	SRR6123158	SRR6123158.fastq.gz	NaN	haploid
2x_LOP868_076	SRR6123157	SRR6123157.fastq.gz	NaN	haploid
2x_LOP868_077	SRR6123156	SRR6123156.fastq.gz	NaN	haploid
2x_LOP868_074	SRR6123155	SRR6123155.fastq.gz	NaN	haploid
2x_LOP868_090	SRR6123154	SRR6123154.fastq.gz	NaN	haploid
2x_LOP868_088	SRR6123153	SRR6123153.fastq.gz	NaN	haploid
2x_LOP868_525	SRR6123152	SRR6123152.fastq.gz	NaN	haploid
2x_LOP868_523	SRR6123151	SRR6123151.fastq.gz	NaN	haploid
2x_LOP868_514	SRR6123150	SRR6123150.fastq.gz	NaN	haploid
2x_LOP868_513	SRR6123149	SRR6123149.fastq.gz	NaN	haploid
2x_LOP868_522	SRR6123148	SRR6123148.fastq.gz	NaN	haploid
2x_LOP868_510	SRR6123147	SRR6123147.fastq.gz	NaN	haploid
2x_LOP868_509	SRR6123146	SRR6123146.fastq.gz	NaN	haploid
2x_LOP868_505	SRR6123145	SRR6123145.fastq.gz	NaN	haploid
2x_LOP868_502	SRR6123144	SRR6123144.fastq.gz	NaN	haploid
2x_LOP868_500	SRR6123143	SRR6123143.fastq.gz	NaN	haploid
2x_LOP868_131	SRR6123142	SRR6123142.fastq.gz	NaN	haploid
2x_LOP868_171	SRR6123141	SRR6123141.fastq.gz	NaN	haploid
2x_LOP868_274	SRR6123140	SRR6123140.fastq.gz	NaN	haploid
2x_LOP868_123	SRR6123139	SRR6123139.fastq.gz	NaN	haploid
2x_LOP868_124	SRR6123138	SRR6123138.fastq.gz	NaN	haploid
2x_LOP868_126	SRR6123137	SRR6123137.fastq.gz	NaN	haploid
2x_LOP868_128	SRR6123136	SRR6123136.fastq.gz	NaN	haploid
2x_LOP868_116	SRR6123135	SRR6123135.fastq.gz	NaN	haploid
2x_LOP868_117	SRR6123134	SRR6123134.fastq.gz	NaN	haploid
2x_LOP868_119	SRR6123133	SRR6123133.fastq.gz	NaN	haploid
2x_LOP868_122	SRR6123132	SRR6123132.fastq.gz	NaN	haploid
2x_LOP868_403	SRR6123131	SRR6123131.fastq.gz	NaN	haploid
2x_LOP868_406	SRR6123130	SRR6123130.fastq.gz	NaN	haploid
2x_LOP868_373	SRR6123129	SRR6123129.fastq.gz	NaN	haploid
2x_LOP868_387	SRR6123128	SRR6123128.fastq.gz	NaN	haploid
2x_LOP868_365	SRR6123127	SRR6123127.fastq.gz	NaN	haploid
2x_LOP868_372	SRR6123126	SRR6123126.fastq.gz	NaN	haploid
2x_LOP868_398	SRR6123125	SRR6123125.fastq.gz	NaN	haploid
2x_LOP868_401	SRR6123124	SRR6123124.fastq.gz	NaN	haploid
2x_LOP868_396	SRR6123123	SRR6123123.fastq.gz	NaN	haploid
2x_LOP868_397	SRR6123122	SRR6123122.fastq.gz	NaN	haploid
2x_LOP868_273	SRR6123121	SRR6123121.fastq.gz	NaN	haploid
2x_LOP868_268	SRR6123120	SRR6123120.fastq.gz	NaN	haploid
